Aura Farm	A power-up farm that grants nearby Sheep and farms a mix of auras. These auras include speed, defense, and regeneration bonuses. <color=#ED1C24FF>Auras do not stack.</color>
Hard Farm	This is the largest farm in the game. It’s 4 times bigger than the Straw Farm. Great for building when on the run or to block off a large area.
Illusion Farm	A trick farm your team can walk right through. Wolves see an ordinary Straw Farm.
Illusion Hard Farm	A trick farm your team can walk right through. Wolves see an ordinary Hard Farm.
Illusion Tiny Farm	A trick farm your team can walk right through. Wolves see an ordinary Tiny Farm.
Illusion Wide Farm	A trick farm your team can walk right through. Wolves see an ordinary Wide Farm.
Invisible Farm	An invisible farm that can’t be seen by enemies, but can be detected by wards.
Invisible Hard Farm	An invisible hard farm that can’t be seen by enemies, but can be detected by wards.
Invisible Tiny Farm	An invisible tiny farm that can’t be seen by enemies, but can be detected by wards.
Invisible Wide Farm	An invisible wide farm that can’t be seen by enemies, but can be detected by wards.
Magic Farm	An invisible magical farm that can cast spells. Can turn ally units invisible for a brief time period and create Decoy Sheep. Enemies can only see it with True Sight.
Mud Farm	An attacking farm that fires mud at opposing enemies. If the mud sticks, the enemies movement speed and attack speed are slowed for a duration.
Savings Farm	A fragile farm that earns the Sheep gold overtime.
Sentry Farm	A farm with a large sight radius. Reveals invisible units.
Stack Farm	A farm that can be built anywhere, even on top of itself or another farm.
Stick Farm	An upgraded version of the Straw farm. Great for blocking choke points.
Stone Farm	An upgraded version of the Stick farm. Excellent for fortifying defenses.
Straw Farm	A basic farm for defense that is free to build. Useful for building your initial base.
Super Savings Farm	A fragile farm that earns the Sheep gold overtime at an increased rate.
Tiny Farm	The smallest farm in the game. It’s 1/4th the size of the Straw farm. It takes up as much space as the Sheep and is great for filling in tight spaces.
Tiny Magic Farm	A tiny invisible magical farm that can cast spells. Can turn ally units invisible for a brief time period and create Decoy Sheep. Enemies can only see it with True Sight.
Wide Farm	A farm that takes up as much space as 9 Tiny farms. It’s slightly taller and wider than the Straw farm.
